content,answer
일관성 없이 한입으로 두말을 하다.,일구이언
많으면 많을수록 좋다.,다다익선
한 가지 한일에 두 가지 효과를 얻음.,일거양득
머뭇거리지 않고 과감히 처리함.,일도양단
한 사건에 관련 있는 자를 다 잡는 것.,일망타진
사물이 지체없이 진행된다는 뜻.,일사천리
한사람의 악행으로 인하여 여러 사람이 그 해를 받게 됨.,일어탁수
인생의 영화는 한바탕 봄 꿈과 같이 헛됨을 말함.,일장춘몽
변치 않는 마음.,일편단심
그때 그때의 변화되는 사정에 따라 적당히 처리함.,임기응변
자기의 언행이 전후가 모순되어 일치하지 않음.,자가당착
물려받은 재산 없이 스스로 재산을 모아 일가를 이룩함.,자수성가
자기의 행동으로 말미암아 자기가 괴로움을 받게 된다는 뜻.,자승자박
자기가 저지른 일의 과오를 자기 자신이 받음.,자업자득
자기네 한 동아리 안에서 일어나는 싸움.,자중지난
처음 부터 끝가지의 사정.,자초지종
억지로 지어먹은 마음이 사흘도 못 간다는 뜻.,작심삼일
잘못한 사람이 도리어 잘한 사람에게 나무랄 때 쓰는 말.,적반하장
아무것도 가진 것이 없다.,적수공권
일이 매우 빠른 것을 가리키는 말.,전광석화
무슨 근심이 있어 누워 뒹굴며 잠을 이루지 못함.,전전반측
안좋은 일을 당했을 때 그것을 잘 처리하여서 좋은 일이 되게 하는 것.,전화위복
이를 갈며 속을 썩임.,절치부심
남의 급소를 찔러 충고하는 것.,정문일침
가난을 참고 고생을 같이하며 남편을 섬긴 아내.,조강지처
변덕이 심하여 종잡을 수 없음에 비유하는 말.,조령모개
침착하지 못하고 오래 앉아 있지 못함.,좌불안석
잘하는 사람에게 더잘하게 하는 것.,주마가편
바빠서 자세히 보지 못하고 지나침을 뜻함.,주마간산
호화로운 생활.,주지육림
어릴 때 같이 놀던 친한 친구.,죽마고우
정성이 자극하면 하늘도 감동한다.,지성감천
나아갈 수도 없고 물러설 수도 없음.,진퇴유곡
미처 어찌할 수도 없는 사이,순식간.,창졸지간
하늘이 높고 말이 살찐다는 뜻으로 가을을 말할 때 쓰임.,천고마비
여러번 생각하여 신중하고 조심스럽게 한 일에도 때로는 한 가지의 실수가 있다는 말.,천려일실
하늘이 맺어 준 배필.,천생배필
고질병이 되다시피 산수풍경을 좋아하는 것.,천석고황
하늘이 돕고 귀신이 도움.,천우신조
천년에나 한번 만날 수 있는 기회.,천재일우
천진함이 넘친다 조금도 꾸밈없이 아주 순진하고 참됨.,천진난만
온 세상이 태평 세상근심 모르고 편안함.,천하태평
처음부터 끝까지 철저하게.,철두철미
하늘에 사무치는 원한.,철천지원
들어도 들리지 아니함.,청이불문
덧없는 인생.,초로인생
대의 명분을 밝혀 세우는 사필의 논법.,춘추필법
출가한 딸은 남이나 마찬가지이다.,출가외인
아무 뜻 없이 한 세상을 흐리멍텅하게 보냄.,취생몽사
내버려두고 문제를 삼지 않는다.,치지도외
어려운 고비를 많이 겪음을 가리키는 말.,칠전팔도
무슨 일을 제 마음대로 함을 이르는 말.,칠종칠금
바늘을 몽둥이라고 말하듯 과장해서 말하는 것.,침소봉대
착하지 못한 사람도 착한 사람의 수양에 도움이 됨을 비유하는 말.,타산지석
마음에 충동을 받아도 동요하지 않고 천연스러운 것.,태연자약
세력이 강하여 걷잡을 수 없이 나아가는 모선인이 못 이룬 일을 해 냄.,파죽지세
매우 위급한 경우에 놓여 있음을 가리키는 말.,풍전등화
몹시 기다림.,학수고대
인간의 일생이란 한바탕의 꿈과 같이 허무함을 비유.,한단지몽
한번 간 사람이 돌아오지 않거나 소식이 없음.,함흥차사
먹고 살 방법.,호구지책
좋은일에는 방해가 되는 일이 많음.,호사다마
기회를 노리며 형세를 살핌.,호시탐탐
여자의 썩 아름다운 얼굴.,호치단순
가장 요긴한 곳에 손을 대어 작품을 완성함.,화룡점정
필요 없는 것을 덧붙이는 일.,화사첨족
보기만 할 수 있고 실제로 얻을 수 없다.,화중지병
남의 글을 교묘하게 모방하였으면서도 그 규모를 달리한 것 얼굴이 이전보다 훨씬 더 아름다워진 것.,환골탈태
널리 사람들에게 알려져서 입에 오르내리고 찬양을 받는다는 뜻.,회자인구
만나면 반드시 헤어지게 마련이다.,회자정리
조리 없는 말을 함부로 지껄임.,횡설수설
술자리에서 늦게 온 사람에게 권하는 석잔의 술.,후래삼배
젊은이란 장차 얼마나 큰 역량을 나타낼지 헤아리기 어려운 존재이므로 존중하며 소중히 다룰 일이라는 뜻.,후생가외
일이 잘못된 뒤라 아무리 뉘우쳐도 어찌할 수 없음.,후회막급
