content,answer
인도네시아의 수도는?,자카르타
중국의 수도는?,베이징
인도의 수도는?,뉴델리
라오스의 수도는?,비엔티안
이스라엘의 수도는?,예루살렘
필리핀의 수도는?,마닐라
말레이시아의 수도는?,쿠알라룸푸르
요르단의 수도는?,암만
오스트리아의 수도는?,비엔나
러시아의 수도는?,모스크바
이탈리아의 수도는?,로마
싱가포르의 수도는?,싱가포르
한국의 수도는?,서울
미국의 수도는?,워싱턴 D.C.
일본의 수도는?,도쿄
캐나다의 수도는?,오타와
브라질의 수도는?,브라질리아
독일의 수도는?,베를린
프랑스의 수도는?,파리
영국의 수도는?,런던
멕시코의 수도는?,멕시코시티
호주의 수도는?,캔버라
남아프리카의 수도는?,프리토리아
사우디 아라비아의 수도는?,리야드
스페인의 수도는?,마드리드
아르헨티나의 수도는?,부에노스아이레스
케냐의 수도는?,나이로비
이집트의 수도는?,카이로
튀르키예의 수도는?,앙카라
콜롬비아의 수도는?,보고타
캄보디아의 수도는?,프놈펜
네덜란드의 수도는?,암스테르담
벨기에의 수도는?,브뤼셀
스웨덴의 수도는?,스톡홀름
포르투갈의 수도는?,리스본
북한의 수도는?,평양
아이슬란드의 수도는?,레이캬비크
태국의 수도는?,방콕
베트남의 수도는?,하노이
이라크의 수도는?,바그다드
이란의 수도는?,테헤란
헝가리의 수도는?,부다페스트
폴란드의 수도는?,바르샤바
우크라이나의 수도는?,키예프
쿠웨이트의 수도는?,쿠웨이트시티
카타르의 수도는?,도하
바레인의 수도는?,마나마
네팔의 수도는?,카트만두
파키스탄의 수도는?,이슬라마바드
방글라데시의 수도는?,다카
노르웨이의 수도는?,오슬로
